Series ID,Year,Period,Label,Value
CWUR0000SA0,1994,M05,1994 May,144.9
CWUR0000SA0,1994,M06,1994 Jun,145.4
CWUR0000SA0,1994,M07,1994 Jul,145.8
CWUR0000SA0,1994,M08,1994 Aug,146.5
CWUR0000SA0,1994,M09,1994 Sep,146.9
CWUR0000SA0,1994,M10,1994 Oct,147.0
CWUR0000SA0,1994,M11,1994 Nov,147.3
CWUR0000SA0,1994,M12,1994 Dec,147.2
CWUR0000SA0,1995,M01,1995 Jan,147.8
CWUR0000SA0,1995,M02,1995 Feb,148.3
CWUR0000SA0,1995,M03,1995 Mar,148.7
CWUR0000SA0,1995,M04,1995 Apr,149.3
CWUR0000SA0,1995,M05,1995 May,149.6
CWUR0000SA0,1995,M06,1995 Jun,149.9
CWUR0000SA0,1995,M07,1995 Jul,149.9
CWUR0000SA0,1995,M08,1995 Aug,150.2
CWUR0000SA0,1995,M09,1995 Sep,150.6
CWUR0000SA0,1995,M10,1995 Oct,151.0
CWUR0000SA0,1995,M11,1995 Nov,150.9
CWUR0000SA0,1995,M12,1995 Dec,150.9
CWUR0000SA0,1996,M01,1996 Jan,151.7
CWUR0000SA0,1996,M02,1996 Feb,152.2
CWUR0000SA0,1996,M03,1996 Mar,152.9
CWUR0000SA0,1996,M04,1996 Apr,153.6
CWUR0000SA0,1996,M05,1996 May,154.0
CWUR0000SA0,1996,M06,1996 Jun,154.1
CWUR0000SA0,1996,M07,1996 Jul,154.3
CWUR0000SA0,1996,M08,1996 Aug,154.5
CWUR0000SA0,1996,M09,1996 Sep,155.1
CWUR0000SA0,1996,M10,1996 Oct,155.5
CWUR0000SA0,1996,M11,1996 Nov,155.9
CWUR0000SA0,1996,M12,1996 Dec,155.9
CWUR0000SA0,1997,M01,1997 Jan,156.3
CWUR0000SA0,1997,M02,1997 Feb,156.8
CWUR0000SA0,1997,M03,1997 Mar,157.0
CWUR0000SA0,1997,M04,1997 Apr,157.2
CWUR0000SA0,1997,M05,1997 May,157.2
CWUR0000SA0,1997,M06,1997 Jun,157.4
CWUR0000SA0,1997,M07,1997 Jul,157.5
CWUR0000SA0,1997,M08,1997 Aug,157.8
CWUR0000SA0,1997,M09,1997 Sep,158.3
CWUR0000SA0,1997,M10,1997 Oct,158.5
CWUR0000SA0,1997,M11,1997 Nov,158.5
CWUR0000SA0,1997,M12,1997 Dec,158.2
CWUR0000SA0,1998,M01,1998 Jan,158.4
CWUR0000SA0,1998,M02,1998 Feb,158.5
CWUR0000SA0,1998,M03,1998 Mar,158.7
CWUR0000SA0,1998,M04,1998 Apr,159.1
CWUR0000SA0,1998,M05,1998 May,159.5
CWUR0000SA0,1998,M06,1998 Jun,159.7
CWUR0000SA0,1998,M07,1998 Jul,159.8
CWUR0000SA0,1998,M08,1998 Aug,160.0
CWUR0000SA0,1998,M09,1998 Sep,160.2
CWUR0000SA0,1998,M10,1998 Oct,160.6
CWUR0000SA0,1998,M11,1998 Nov,160.7
CWUR0000SA0,1998,M12,1998 Dec,160.7
CWUR0000SA0,1999,M01,1999 Jan,161.0
CWUR0000SA0,1999,M02,1999 Feb,161.1
CWUR0000SA0,1999,M03,1999 Mar,161.4
CWUR0000SA0,1999,M04,1999 Apr,162.7
CWUR0000SA0,1999,M05,1999 May,162.8
CWUR0000SA0,1999,M06,1999 Jun,162.8
CWUR0000SA0,1999,M07,1999 Jul,163.3
CWUR0000SA0,1999,M08,1999 Aug,163.8
CWUR0000SA0,1999,M09,1999 Sep,164.7
